1 999, 0
2 999, 0
3 999, 0
4 999, 0
5 260500, 520000
6 1.4925e+06, 2.984e+06
7 499.5, 0
8 499.5, 0
9 173551, 0
10 994337, 0
11 1.20994e+06, 3.624e+06
12 332.778, 0
13 130022, 0
14 1.49337e+06, 2.984e+06
15 906475, 0
16 130671, 520000
17 103867, 0
18 1.19297e+06, 0
19 1.45313e+06, 3.624e+06
20 104386, 0
21 86400.7, 0
22 1.60177e+06, 3.624e+06
23 1.20877e+06, 0
24 86832, 0
25 73899.6, 0
26 1.37002e+06, 0
27 1.50266e+06, 3.24e+06
28 74268.6, 0
29 64502.5, 0
30 1.60781e+06, 3.24e+06
31 1.31158e+06, 0
32 64824.5, 0
33 57174.9, 0
34 1.42516e+06, 0
35 1.47976e+06, 2.792e+06
36 57460.3, 0
37 51296.2, 0
38 1.47686e+06, 1.928e+06
39 1.32761e+06, 0
40 51552.3, 0
41 46471.6, 0
42 1.33795e+06, 0
43 1.46534e+06, 2.792e+06
44 46703.6, 0
45 42437.7, 0
46 1.50306e+06, 3.24e+06
47 1.33815e+06, 0
48 42649.6, 0
49 39012.3, 0
50 1.38174e+06, 0
51 1.49166e+06, 3.24e+06
52 39207.1, 0
53 36065.2, 0
54 1.27736e+06, 0
55 1.62373e+06, 3.24e+06
56 36245.3, 0
57 33501, 0
58 1.18654e+06, 0
59 1.73865e+06, 3.24e+06
60 33668.2, 0
61 31248, 0
62 1.10674e+06, 0
63 1.83962e+06, 3.24e+06
64 31404, 0
65 29251.5, 0
66 1.03603e+06, 0
67 1.90047e+06, 2.792e+06
68 29397.5, 0
69 27469, 0
70 972896, 0
71 1.92749e+06, 2.344e+06
72 27606.1, 0
73 25866.9, 0
74 916153, 0
75 1.90513e+06, 1.544e+06
76 25996, 0
77 24418.3, 0
78 864846, 0
79 1.90641e+06, 1.928e+06
80 24540.2, 0
81 23101.5, 0
82 818207, 0
83 1.93001e+06, 2.344e+06
84 23216.8, 0
85 54805.6, 632000
86 775604, 0
87 1.95489e+06, 2.408e+06
88 22007.9, 0
89 70991.8, 376000
90 736519, 0
91 1.97773e+06, 2.408e+06
92 20898.9, 0
93 67521.6, 0
94 700516, 0
95 1.99563e+06, 2.344e+06
96 19877.3, 0
97 64313.6, 0
98 667234, 0
99 2.01218e+06, 2.344e+06
100 18932.9, 0
101 61338, 0
102 636363, 0
103 2.04826e+06, 2.792e+06
104 18056.9, 0
105 58569.6, 0
106 607641, 0
107 2.10205e+06, 3.24e+06
108 17242, 0
109 55986.7, 0
110 580845, 0
111 2.15223e+06, 3.24e+06
112 16481.6, 0
113 53570.7, 0
114 555779, 0
115 2.19917e+06, 3.24e+06
116 15770.4, 0
117 51305.4, 0
118 532278, 0
119 2.24319e+06, 3.24e+06
120 15103.5, 0
121 49176.7, 0
122 510193, 0
123 2.28454e+06, 3.24e+06
124 14476.9, 0
125 47172.4, 0
126 489399, 0
127 2.32349e+06, 3.24e+06
128 13886.8, 0
129 45281.5, 0
130 469782, 0
131 2.36023e+06, 3.24e+06
132 13330.2, 0
133 43494.5, 0
134 451242, 0
135 2.39494e+06, 3.24e+06
136 12804.1, 0
137 41803.1, 0
138 433694, 0
139 2.42781e+06, 3.24e+06
140 12306.2, 0
141 40199.5, 0
142 417058, 0
143 2.45896e+06, 3.24e+06
144 11834.1, 0
145 38677.2, 0
146 401264, 0
147 2.48854e+06, 3.24e+06
148 11386, 0
149 37230.1, 0
150 386251, 0
151 2.51666e+06, 3.24e+06
152 10960, 0
153 35852.8, 0
154 371962, 0
155 2.52684e+06, 2.792e+06
156 10554.5, 0
157 34540.5, 0
158 358347, 0
159 2.52015e+06, 2.344e+06
160 10168.2, 0
161 33288.8, 0
162 345361, 0
163 2.49869e+06, 1.928e+06
164 9799.69, 0
165 50763.2, 520000
166 360822, 776000
167 2.40898e+06, 0
168 28117.5, 520000
169 67463.2, 520000
170 402931, 1.544e+06
171 2.32324e+06, 0
172 45623.4, 520000
173 65081.9, 0
174 471447, 2.344e+06
175 2.24124e+06, 0
176 44013, 0
177 62802.3, 0
178 552729, 2.792e+06
179 2.16273e+06, 0
180 42471.4, 0
181 60618.4, 0
182 551591, 520000
183 2.18017e+06, 2.664e+06
184 40994.5, 0
185 58524.7, 0
186 550499, 520000
187 2.1394e+06, 1e+06
188 39578.6, 0
189 56516.2, 0
190 531607, 0
191 2.17718e+06, 3.24e+06
192 38220.3, 0
193 54588.2, 0
194 513472, 0
195 2.21343e+06, 3.24e+06
196 36916.5, 0
197 52736.5, 0
198 496053, 0
199 2.24826e+06, 3.24e+06
200 35664.1, 0
201 50956.9, 0
202 479314, 0
203 2.28172e+06, 3.24e+06
204 34460.7, 0
205 49245.9, 0
206 463220, 0
207 2.3139e+06, 3.24e+06
208 33303.6, 0
209 47600, 0
210 447738, 0
211 2.34485e+06, 3.24e+06
212 32190.5, 0
213 46016, 0
214 432839, 0
215 2.38742e+06, 3.624e+06
216 31119.3, 0
217 44491, 0
218 418495, 0
219 2.4284e+06, 3.624e+06
220 30088, 0
221 43022.2, 0
222 404679, 0
223 2.46787e+06, 3.624e+06
224 29094.7, 0
225 41607, 0
226 391367, 0
227 2.5059e+06, 3.624e+06
228 28137.6, 0
229 40243, 0
230 378537, 0
231 2.54255e+06, 3.624e+06
232 27215.2, 0
233 38927.9, 0
234 366166, 0
235 2.5779e+06, 3.624e+06
236 26325.8, 0
237 37659.5, 0
238 354236, 0
239 2.61198e+06, 3.624e+06
240 25468.1, 0
241 36435.9, 0
242 342726, 0
243 2.64486e+06, 3.624e+06
244 24640.6, 0
245 52106.2, 520000
246 331620, 0
247 2.65585e+06, 2.984e+06
248 23842.1, 0
249 50421.8, 0
250 320900, 0
251 2.68715e+06, 3.624e+06
252 23071.4, 0
253 48795.6, 0
254 310551, 0
255 2.71736e+06, 3.624e+06
256 22327.3, 0
257 47225.3, 0
258 300557, 0
259 2.74654e+06, 3.624e+06
260 21608.8, 0
261 45708.7, 0
262 290904, 0
263 2.77472e+06, 3.624e+06
264 20914.8, 0
265 44243.5, 0
266 281580, 0
267 2.80194e+06, 3.624e+06
268 20244.4, 0
269 42827.9, 0
270 272570, 0
271 2.82824e+06, 3.624e+06
272 19596.7, 0
273 41459.9, 0
274 263864, 0
275 2.85366e+06, 3.624e+06
276 18970.7, 0
277 40137.7, 0
278 255449, 0
279 2.87823e+06, 3.624e+06
280 18365.7, 0
281 38859.5, 0
282 247314, 0
283 2.90198e+06, 3.624e+06
284 17780.8, 0
285 37623.8, 0
286 239450, 0
287 2.92494e+06, 3.624e+06
288 17215.4, 0
289 36428.9, 0
290 231845, 0
