2.501 	0 	28.7555
2.501 	1 	37.2693
2.501 	2 	36.264
2.501 	3 	38.0498
2.501 	4 	35.6799
2.501 	5 	35.7197
2.502 	0 	28.4725
2.502 	1 	37.3648
2.502 	2 	36.362
2.502 	3 	38.0943
2.502 	4 	35.6403
2.502 	5 	35.7155
2.503 	0 	28.1685
2.503 	1 	37.4549
2.503 	2 	36.4524
2.503 	3 	38.1348
2.503 	4 	35.5949
2.503 	5 	35.7088
2.504 	0 	27.8409
2.504 	1 	37.5398
2.504 	2 	36.5355
2.504 	3 	38.1715
2.504 	4 	35.5437
2.504 	5 	35.6997
2.505 	0 	27.4864
2.505 	1 	37.6197
2.505 	2 	36.6116
2.505 	3 	38.2042
2.505 	4 	35.4865
2.505 	5 	35.6882
2.506 	0 	27.1012
2.506 	1 	37.6947
2.541 	0 	25.8413
2.541 	1 	37.813
2.541 	2 	35.4928
2.541 	3 	36.7795
2.541 	4 	22.678
2.541 	5 	32.9657
2.542 	0 	25.6906
2.542 	1 	37.7455
2.542 	2 	35.338
2.542 	3 	36.6484
2.542 	4 	24.9623
2.542 	5 	32.7864
2.543 	0 	25.5007
2.543 	1 	37.6733
2.543 	2 	35.1727
2.543 	3 	36.5096
2.543 	4 	26.4455
2.581 	0 	33.3028
2.581 	1 	24.7985
2.581 	2 	33.8244
2.581 	3 	33.5747
2.581 	4 	35.4771
2.621 	0 	37.3434
2.621 	1 	37.5186
2.621 	2 	35.672
2.661 	0 	35.0717
2.661 	1 	35.8569
2.661 	2 	30.6552
2.701 	0 	35.5911
2.701 	1 	32.3341
2.701 	2 	35.7484
2.701 	3 	34.5954
2.701 	4 	32.088
2.701 	5 	36.6614
2.702 	0 	35.7796
2.741 	0 	38.3007
2.741 	1 	36.082
2.741 	2 	18.5996
2.741 	3 	35.7697
2.742 	0 	38.2821
2.742 	1 	36.0706
2.742 	2 	17.5348
2.742 	3 	35.7209
2.742 	4 	34.2695
2.781 	0 	32.9049
2.781 	1 	32.6194
2.781 	2 	35.4432
2.821 	0 	36.713
2.821 	1 	29.912
2.861 	0 	37.0898
2.861 	1 	32.1283
2.861 	2 	34.4528
2.861 	3 	31.7031
2.861 	4 	32.0075
2.861 	5 	36.1807
2.862 	0 	37.0164
2.862 	1 	32.1029
2.862 	2 	34.532
2.862 	3 	31.6484
