Time	RB	Sinr
0.536 	1 	9.84542
0.536 	0 	28.5033
0.536 	5 	28.5558
0.536 	3 	15.7934
0.536 	4 	15.2784
0.536 	2 	32.0564
0.537 	4 	17.0657
0.537 	5 	19.2516
0.537 	2 	18.7021
0.537 	3 	19.3557
0.537 	0 	11.5568
0.537 	1 	13.4262
0.538 	2 	18.4487
0.538 	0 	12.8248
0.538 	1 	11.7374
0.538 	3 	9.46351
0.538 	4 	15.8994
0.538 	5 	16.3097
0.539 	0 	15.7935
0.539 	4 	26.2584
0.539 	1 	23.6017
0.539 	2 	21.2407
0.539 	3 	23.152
0.539 	5 	14.8671
0.54 	1 	18.6759
0.54 	3 	15.6603
0.54 	5 	15.5806
0.54 	4 	25.0875
0.54 	0 	17.1128
0.54 	2 	32.0657
0.541 	4 	16.8356
0.541 	1 	10.4137
0.541 	2 	7.40942
0.541 	5 	16.2447
0.541 	3 	15.9848
0.541 	0 	14.7069
0.542 	0 	16.0055
0.542 	1 	15.4948
0.542 	2 	18.3206
0.542 	4 	15.6332
0.542 	3 	30.2077
0.542 	5 	28.6145
0.543 	0 	15.8274
0.543 	4 	26.4071
0.543 	2 	18.6458
0.543 	3 	19.7543
0.543 	5 	14.9353
0.543 	1 	14.0977
0.544 	3 	25.2944
0.544 	0 	15.2537
0.544 	5 	19.9282
0.544 	4 	24.9375
0.544 	1 	19.5464
0.544 	2 	32.0154
0.545 	1 	17.1743
0.545 	4 	17.7874
0.545 	5 	16.0999
0.545 	2 	15.6438
0.545 	3 	16.06
0.545 	0 	14.8571
0.546 	3 	30.4763
0.546 	4 	29.145
0.546 	0 	12.3759
0.546 	1 	11.3942
0.546 	2 	30.9056
0.546 	5 	28.545
0.547 	0 	15.7965
0.547 	2 	23.5066
0.547 	4 	26.463
0.547 	5 	14.9377
0.547 	1 	14.4132
0.547 	3 	13.2296
0.548 	0 	22.7842
0.548 	3 	22.2633
0.548 	4 	22.6207
0.548 	1 	10.8949
0.548 	5 	20.2132
0.548 	2 	31.9054
0.549 	0 	22.6849
0.549 	1 	24.6194
0.549 	3 	24.6725
0.549 	2 	14.633
0.549 	4 	24.6146
0.549 	5 	21.3602
0.55 	1 	17.5742
0.55 	2 	18.3266
0.55 	3 	19.9487
0.55 	4 	16.2482
0.55 	5 	19.9037
0.55 	0 	14.9505
0.551 	3 	15.8343
0.551 	0 	15.6994
0.551 	4 	18.8121
0.551 	1 	12.399
0.551 	2 	14.9096
0.551 	5 	15.7455
0.552 	4 	28.6612
0.552 	0 	11.8178
0.552 	5 	14.8478
0.552 	1 	11.0337
0.552 	2 	15.8298
0.552 	3 	16.0251
0.553 	3 	17.3085
0.553 	1 	19.8544
0.553 	5 	20.9314
0.553 	0 	23.6496
0.553 	2 	31.6809
0.553 	4 	25.0294
0.554 	0 	27.6832
0.554 	1 	24.5107
0.554 	2 	31.0051
0.554 	3 	23.5712
0.554 	4 	28.1817
0.554 	5 	28.1352
0.555 	5 	20.4767
0.555 	2 	24.5909
0.555 	4 	26.3072
0.555 	1 	14.8015
0.555 	3 	14.3514
0.555 	0 	14.9421
0.556 	2 	17.3559
0.556 	3 	16.2559
0.556 	0 	24.4711
0.556 	1 	22.5431
0.556 	5 	14.6983
0.556 	4 	23.8696
0.557 	0 	15.4225
0.557 	2 	32.5408
0.557 	3 	30.7291
0.557 	1 	17.4006
0.557 	4 	19.5184
0.557 	5 	8.1216
0.558 	0 	24.2433
0.558 	1 	23.3549
0.558 	4 	27.1508
0.558 	5 	22.3529
0.558 	2 	15.9827
0.558 	3 	17.593
0.559 	4 	15.7162
0.559 	0 	10.8279
0.559 	1 	9.8849
0.559 	2 	15.8705
0.559 	5 	21.4993
0.559 	3 	15.7634
0.56 	1 	17.2287
0.56 	2 	15.0315
0.56 	3 	18.4336
0.56 	4 	16.0931
0.56 	5 	20.5517
0.56 	0 	14.8312
0.561 	0 	15.1412
0.561 	5 	14.4058
0.561 	1 	11.0225
0.561 	4 	9.70428
0.561 	3 	14.995
0.561 	2 	31.102
0.562 	0 	21.0652
0.562 	2 	25.1125
0.562 	5 	23.6215
0.562 	1 	16.9391
0.562 	3 	20.5882
0.562 	4 	22.8703
0.563 	2 	16.4975
0.563 	3 	16.6544
0.563 	0 	25.3914
0.563 	1 	21.6167
0.563 	4 	23.8899
0.563 	5 	18.631
0.564 	1 	28.7341
0.564 	0 	16.2
0.564 	4 	20.0605
0.564 	2 	16.2665
0.564 	5 	21.7832
0.564 	3 	15.4154
0.565 	1 	23.7637
0.565 	2 	30.7546
0.565 	4 	28.5562
0.565 	5 	26.844
0.565 	3 	15.3437
0.565 	0 	14.6119
0.566 	0 	16.2556
0.566 	2 	16.7138
0.566 	3 	17.7494
0.566 	5 	10.3358
0.566 	1 	26.0652
0.566 	4 	26.2672
0.567 	4 	25.9323
0.567 	0 	11.5253
0.567 	1 	12.6111
0.567 	2 	11.0616
0.567 	3 	9.17768
0.567 	5 	13.8752
0.568 	0 	14.4249
0.568 	1 	12.6965
0.568 	3 	13.6976
0.568 	4 	13.2299
0.568 	5 	13.0684
0.568 	2 	15.7642
0.569 	0 	25.0783
0.569 	3 	30.2423
0.569 	1 	10.6335
0.569 	4 	10.5851
0.569 	5 	10.3297
0.569 	2 	16.537
0.57 	1 	19.1334
0.57 	4 	16.5503
0.57 	5 	21.9329
0.57 	2 	15.6267
0.57 	3 	14.7739
0.57 	0 	14.2728
0.571 	5 	20.3523
0.571 	2 	21.5571
0.571 	3 	22.2728
0.571 	4 	20.2209
0.571 	0 	14.757
0.571 	1 	14.8204
0.572 	3 	16.8742
0.572 	1 	23.1332
0.572 	2 	25.3452
0.572 	4 	24.5872
0.572 	5 	24.4759
0.572 	0 	26.1133
0.573 	0 	25.2619
0.573 	2 	23.8198
0.573 	5 	11.1701
0.573 	1 	16.9002
0.573 	3 	16.6438
0.573 	4 	20.4158
0.574 	1 	16.0515
0.574 	3 	18.5404
0.574 	5 	16.2535
0.574 	0 	23.2627
0.574 	2 	29.4019
0.574 	4 	26.617
0.575 	0 	17.501
0.575 	5 	24.3693
0.575 	1 	12.359
0.575 	2 	16.715
0.575 	3 	15.1264
0.575 	4 	14.2319
0.576 	1 	15.2342
0.576 	2 	19.0645
0.576 	3 	20.2136
0.576 	5 	20.0843
0.576 	4 	24.0273
0.576 	0 	13.6788
0.577 	1 	27.155
0.577 	2 	33.0484
0.577 	3 	29.3942
0.577 	4 	27.3551
0.577 	5 	11.4682
0.577 	0 	15.3722
0.578 	0 	14.8049
0.578 	3 	16.846
0.578 	1 	9.6815
0.578 	4 	11.0338
0.578 	5 	21.835
0.578 	2 	15.2499
0.579 	3 	14.9928
0.579 	0 	11.5374
0.579 	1 	13.2191
0.579 	2 	13.0857
0.579 	5 	11.9499
0.579 	4 	28.2294
0.58 	4 	21.9414
0.58 	5 	26.4964
0.58 	0 	18.0047
0.58 	1 	17.0786
0.58 	2 	22.8932
0.58 	3 	23.3259
0.581 	1 	24.2807
0.581 	2 	23.0318
0.581 	4 	23.8776
0.581 	5 	11.661
0.581 	0 	12.9855
0.581 	3 	11.8291
0.582 	1 	16.0856
0.582 	4 	20.4471
0.582 	0 	15.6876
0.582 	3 	16.2004
0.582 	2 	27.5638
0.582 	5 	27.2866
0.583 	3 	15.2804
0.583 	1 	16.3227
0.583 	0 	18.425
0.583 	5 	21.5996
0.583 	2 	14.9262
0.583 	4 	15.0204
0.584 	0 	18.3297
0.584 	5 	11.6895
0.584 	2 	29.1152
0.584 	3 	28.5554
0.584 	4 	27.8891
0.584 	1 	14.4229
0.585 	0 	16.3257
0.585 	3 	16.6299
0.585 	2 	20.0138
0.585 	5 	19.257
0.585 	1 	24.5961
0.585 	4 	27.4089
0.586 	0 	25.0774
0.586 	2 	24.9414
0.586 	4 	23.6116
0.586 	1 	16.2968
0.586 	3 	9.62794
0.586 	5 	11.7689
0.587 	4 	20.3322
0.587 	5 	11.8393
0.587 	1 	19.8011
0.587 	2 	23.6596
0.587 	3 	23.8527
0.587 	0 	11.8114
0.588 	3 	15.5342
0.588 	0 	18.5925
0.588 	1 	13.1227
0.588 	2 	16.5876
0.588 	4 	26.636
