Time	RB	Sinr
0.536 	3 	13.5014
0.536 	4 	14.7048
0.536 	5 	16.1948
0.537 	0 	18.9331
0.537 	1 	11.4265
0.537 	2 	15.6759
0.537 	3 	13.6839
0.537 	4 	14.7651
0.537 	5 	16.4059
0.538 	0 	19.0337
0.538 	1 	11.8813
0.538 	2 	15.557
0.538 	3 	13.8604
0.538 	4 	14.8173
0.538 	5 	16.6049
0.539 	0 	19.1257
0.539 	1 	12.2887
0.539 	2 	15.4281
0.539 	3 	14.0311
0.539 	4 	14.8617
0.539 	5 	16.7929
0.54 	1 	12.6568
0.54 	2 	15.2883
0.54 	3 	14.1963
0.54 	4 	14.8983
0.54 	5 	16.9707
0.54 	0 	19.2094
0.541 	0 	19.2854
0.541 	1 	12.9918
0.541 	2 	15.1368
0.541 	3 	14.3562
0.541 	4 	14.9274
0.541 	5 	17.139
0.542 	0 	19.3538
0.542 	1 	13.2983
0.542 	2 	14.9727
0.542 	3 	14.511
0.542 	4 	14.949
0.542 	5 	17.2984
0.543 	0 	19.415
0.543 	1 	13.5801
0.543 	2 	14.7948
0.543 	3 	14.661
0.543 	4 	14.9632
0.543 	5 	17.4495
0.544 	0 	19.4692
0.544 	1 	13.8402
0.544 	2 	14.6017
0.544 	3 	14.8062
0.544 	4 	14.9701
0.544 	5 	17.5928
0.545 	0 	19.5168
0.545 	1 	14.081
0.545 	2 	14.3919
0.545 	3 	14.9469
0.545 	4 	14.9696
0.545 	5 	17.7287
0.546 	0 	19.5579
0.546 	1 	14.3045
0.546 	2 	14.1634
0.546 	3 	15.0832
0.546 	4 	14.9618
0.546 	5 	17.8577
0.547 	0 	19.5926
0.547 	1 	14.5124
0.547 	2 	13.9141
0.547 	3 	15.2152
0.547 	4 	14.9465
0.547 	5 	17.98
0.548 	0 	19.6211
0.548 	1 	14.7062
0.548 	2 	13.6409
0.548 	3 	15.3431
0.548 	4 	14.9238
0.548 	5 	18.0961
0.549 	0 	19.6436
0.549 	1 	14.887
0.549 	2 	13.3405
0.549 	3 	15.467
0.549 	4 	14.8935
0.549 	5 	18.2061
0.55 	0 	19.6601
0.55 	1 	15.0558
0.55 	2 	13.0085
0.55 	3 	15.5869
0.55 	4 	14.8555
0.55 	5 	18.3104
0.551 	0 	19.6708
0.551 	1 	15.2136
0.551 	2 	12.639
0.551 	3 	15.7029
